,user_id,item_id,rating,timestamp
0,196,242,3,881250949
1,186,302,3,891717742
2,22,377,1,878887116
3,244,51,2,880606923
4,166,346,1,886397596
6,115,265,2,881171488
7,253,465,5,891628467
9,6,86,3,883603013
11,286,1014,5,879781125
16,122,387,5,879270459
17,194,274,2,879539794
19,234,1184,2,892079237
20,119,392,4,886176814
21,167,486,4,892738452
26,38,95,5,892430094
27,102,768,2,883748450
28,63,277,4,875747401
30,50,246,3,877052329
32,225,193,4,879539727
33,290,88,4,880731963
34,97,194,3,884238860
35,157,274,4,886890835
37,278,603,5,891295330
41,284,304,4,885329322
44,287,327,5,875333916
45,246,201,5,884921594
46,242,1137,5,879741196
48,99,4,5,886519097
49,178,332,3,882823437
50,251,100,4,886271884
51,81,432,2,876535131
52,260,322,4,890618898
53,25,181,5,885853415
54,59,196,5,888205088
57,290,143,5,880474293
60,115,20,3,881171009
61,20,288,1,879667584
64,246,919,4,884920949
65,138,26,5,879024232
66,167,232,1,892738341
68,57,304,5,883698581
69,223,274,4,891550094
70,189,512,4,893277702
71,243,15,3,879987440
73,246,416,3,884923047
74,194,165,4,879546723
75,241,690,2,887249482
76,178,248,4,882823954
79,127,229,5,884364867
80,225,237,5,879539643
82,225,480,5,879540748
88,11,111,4,891903862
90,8,338,4,879361873
91,162,25,4,877635573
93,279,154,5,875296291
95,119,1153,5,874781198
98,28,209,4,881961214
99,135,23,4,879857765
100,32,294,3,883709863
102,286,208,4,877531942
105,166,328,5,886397722
106,250,496,4,878090499
107,271,132,5,885848672
109,265,118,4,875320714
112,168,151,5,884288058
116,271,346,4,885844430
118,279,832,3,881375854
119,237,514,4,879376641
120,94,789,4,891720887
124,264,200,5,886122352
125,194,385,2,879524643
128,250,264,3,878089182
129,41,265,3,890687042
135,250,140,3,878092059
136,59,23,5,888205300
137,286,379,5,877533771
138,244,815,4,880605185
142,194,1211,2,879551380
146,244,756,2,880605157
151,57,419,3,883698454
152,84,405,3,883452363
153,269,504,4,891449922
155,194,466,4,879525876
157,99,268,3,885678247
159,259,117,4,874724988
163,121,514,3,891387947
167,155,323,2,879371261
168,68,117,4,876973939
169,172,177,4,875537965
170,19,4,4,885412840
172,5,2,3,875636053
176,279,1336,1,875298353
177,80,466,5,887401701
180,279,1240,1,892174404
181,66,298,4,883601324
182,18,443,3,880130193
184,99,79,4,885680138
186,26,258,3,891347949
190,119,328,4,876923913
193,94,1217,3,891723086
195,38,328,4,892428688
198,26,930,2,891385985
201,256,452,4,882164999
202,1,61,4,878542420
204,56,755,3,892910207
206,15,405,2,879455957
208,207,476,2,884386343
210,232,483,5,888549622
211,251,748,2,886272175
214,259,255,4,874724710
216,52,280,3,882922806
217,161,202,5,891170769
218,148,408,5,877399018
219,125,235,2,892838559
220,97,228,5,884238860
222,83,234,4,887665548
224,272,178,5,879455113
225,194,181,3,879521396
226,125,478,4,879454628
230,269,127,4,891446165
231,6,14,5,883599249
232,54,106,3,880937882
238,194,1028,2,879541148
239,91,323,2,891438397
241,294,109,4,877819599
242,286,171,4,877531791
244,229,328,1,891632142
245,178,568,4,882826555
248,207,591,3,876018608
251,36,339,5,882157581
252,70,746,3,884150257
253,63,242,3,875747190
254,28,201,3,881961671
255,279,68,4,875307407
256,250,7,4,878089716
257,14,98,3,890881335
259,194,54,3,879525876
261,119,237,5,874775038
265,66,258,4,883601089
266,233,202,5,879394264
267,83,623,4,880308578
268,214,334,3,891542540
269,192,476,2,881368243
270,100,344,4,891374868
273,307,89,5,879283786
274,234,141,3,892334609
275,83,576,4,880308755
278,38,153,5,892430369
